fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Ticker
2016-01-31,CAD,"$1,200,352,000,000.00","$113,955,000,000.00","$41,686,000,000.00","$41,686,000,000.00","$115,753,925,575.39",$0.00,"$253,683,000,000.00","$2,211,228,221.12",$0.00,"$4,872,000,000.00","$4,872,000,000.00","$12,016,000,000.00",$0.00,$0.00,"$72,269,000,000.00","$832,714,000,000.00",$0.00,"$1,130,464,000,000.00","$1,121,183,000,000.00",$0.00,$0.00,$0.00,$0.00,"$1,130,464,000,000.00",$0.00,"$7,065,318,706.53",$0.00,$0.00,"$9,854,000,000.00",$0.00,$0.00,"$69,315,000,000.00",$0.00,"$38,856,000,000.00","$17,862,000,000.00","$1,495,035,000.00",RY
2015-07-31,CAD,"$1,085,173,000,000.00","$93,852,000,000.00","$30,707,000,000.00","$30,707,000,000.00","$131,690,732,676.29",$0.00,"$250,660,000,000.00","$2,037,588,815.04",$0.00,"$2,810,000,000.00","$2,810,000,000.00","$9,322,000,000.00",$0.00,$0.00,"$63,145,000,000.00","$740,661,000,000.00",$0.00,"$1,023,275,000,000.00","$1,017,696,000,000.00",$0.00,$0.00,$0.00,$0.00,"$1,023,275,000,000.00",$0.00,"$5,633,738,253.50",$0.00,$0.00,"$7,374,000,000.00",$0.00,$0.00,"$60,103,000,000.00",$0.00,"$35,795,000,000.00","$14,561,000,000.00","$1,449,540,000.00",RY
2014-07-31,CAD,"$913,870,000,000.00","$68,038,000,000.00","$21,680,000,000.00","$21,680,000,000.00","$140,053,176,858.90",$0.00,"$213,373,000,000.00","$2,386,540,753.64",$0.00,"$2,782,000,000.00","$2,782,000,000.00","$8,568,000,000.00",$0.00,$0.00,"$46,358,000,000.00","$632,459,000,000.00",$0.00,"$860,373,000,000.00","$855,346,000,000.00",$0.00,$0.00,$0.00,$0.00,"$860,373,000,000.00",$0.00,"$6,243,696,708.54",$0.00,$0.00,"$6,810,000,000.00",$0.00,$0.00,"$51,714,000,000.00",$0.00,"$30,526,000,000.00","$14,475,000,000.00","$1,449,455,000.00",RY
2014-04-30,CAD,"$895,893,000,000.00","$64,172,000,000.00","$21,089,000,000.00","$21,089,000,000.00","$135,374,931,581.83",$0.00,"$205,725,000,000.00","$2,374,566,684.91",$0.00,"$2,802,000,000.00","$2,802,000,000.00","$8,566,000,000.00",$0.00,$0.00,"$43,083,000,000.00","$625,996,000,000.00",$0.00,"$844,410,000,000.00","$839,227,000,000.00",$0.00,$0.00,$0.00,$0.00,"$844,410,000,000.00",$0.00,"$6,363,802,225.87",$0.00,$0.00,"$6,486,000,000.00",$0.00,$0.00,"$49,690,000,000.00",$0.00,"$29,496,000,000.00","$14,458,000,000.00","$1,450,271,000.00",RY
2014-01-31,CAD,"$904,714,000,000.00","$62,751,000,000.00","$22,031,000,000.00","$22,031,000,000.00","$133,681,372,989.49",$0.00,"$203,865,000,000.00","$2,381,166,322.22",$0.00,"$2,815,000,000.00","$2,815,000,000.00","$8,616,000,000.00",$0.00,$0.00,"$40,720,000,000.00","$638,098,000,000.00",$0.00,"$853,199,000,000.00","$847,960,000,000.00",$0.00,$0.00,$0.00,$0.00,"$853,199,000,000.00",$0.00,"$6,299,757,390.60",$0.00,$0.00,"$6,521,000,000.00",$0.00,$0.00,"$49,743,000,000.00",$0.00,"$28,551,000,000.00","$14,442,000,000.00","$1,458,742,000.00",RY
2013-10-31,CAD,"$860,819,000,000.00","$104,640,000,000.00","$24,931,000,000.00","$24,931,000,000.00","$138,072,092,800.31",$0.00,"$196,646,000,000.00","$2,549,132,393.83",$0.00,"$2,796,000,000.00","$2,796,000,000.00","$8,361,000,000.00",$0.00,$0.00,"$71,159,000,000.00","$559,533,000,000.00",$0.00,"$810,484,000,000.00","$10,612,000,000.00",$0.00,$0.00,$0.00,$0.00,"$10,612,000,000.00",$0.00,"$7,998,274,374.46",$0.00,$0.00,"$7,443,000,000.00","-$10,612,000,000.00",$0.00,"$48,540,000,000.00",$0.00,"$28,314,000,000.00","$14,377,000,000.00","$1,462,728,000.00",RY
2013-04-30,CAD,"$867,530,000,000.00","$58,027,000,000.00","$21,484,000,000.00","$21,484,000,000.00","$138,759,182,052.81",$0.00,"$189,969,000,000.00","$2,657,335,715.70",$0.00,"$2,725,000,000.00","$2,725,000,000.00","$8,106,000,000.00",$0.00,$0.00,"$36,543,000,000.00","$619,534,000,000.00",$0.00,"$819,507,000,000.00","$813,002,000,000.00",$0.00,$0.00,$0.00,$0.00,"$819,507,000,000.00",$0.00,"$9,332,936,271.59",$0.00,$0.00,"$8,503,000,000.00",$0.00,$0.00,"$46,251,000,000.00",$0.00,"$26,191,000,000.00","$14,354,000,000.00","$1,468,008,000.00",RY
2012-10-31,CAD,"$825,100,000,000.00","$100,482,000,000.00","$22,872,000,000.00","$22,872,000,000.00","$120,855,513,307.98",$0.00,"$174,598,000,000.00","$2,692,615,569.34",$0.00,"$2,686,000,000.00","$2,686,000,000.00","$7,485,000,000.00",$0.00,$0.00,"$67,366,000,000.00","$550,020,000,000.00",$0.00,"$779,072,000,000.00","$9,842,000,000.00",$0.00,$0.00,$0.00,$0.00,"$9,842,000,000.00",$0.00,"$8,520,112,067.24",$0.00,$0.00,"$7,615,000,000.00","-$9,842,000,000.00",$0.00,"$44,267,000,000.00",$0.00,"$24,270,000,000.00","$14,323,000,000.00","$1,445,489,000.00",RY
2012-07-31,CAD,"$824,394,000,000.00","$31,185,000,000.00","$21,972,000,000.00","$21,972,000,000.00","$116,688,266,374.24",$0.00,"$176,771,000,000.00","$2,663,742,398.56",$0.00,"$8,080,000,000.00","$8,080,000,000.00","$7,466,000,000.00",$0.00,$0.00,"$119,214,435,250.72","$616,438,000,000.00",$0.00,"$779,469,000,000.00","$46,724,000,000.00",$0.00,$0.00,$0.00,"$43,562,000,000.00","$46,724,000,000.00",$0.00,"$8,519,589,273.25",$0.00,$0.00,"$51,208,000,000.00","-$46,724,000,000.00",$0.00,"$43,168,000,000.00",$0.00,"$23,310,000,000.00","$14,234,871,897.12","$1,469,513,000.00",RY
2012-01-31,CAD,"$815,016,000,000.00","$23,140,000,000.00","$23,140,000,000.00","$23,140,000,000.00","$123,207,697,676.74",$0.00,"$177,685,000,000.00","$2,606,441,320.17",$0.00,"$2,124,000,000.00","$2,124,000,000.00","$7,608,000,000.00",$0.00,$0.00,"$107,378,602,054.04","$614,191,000,000.00",$0.00,"$772,286,000,000.00","$37,358,000,000.00",$0.00,$0.00,$0.00,"$37,358,000,000.00","$37,358,000,000.00",$0.00,"$9,616,113,271.51",$0.00,$0.00,"$46,102,000,000.00","-$37,358,000,000.00",$0.00,"$40,972,000,000.00",$0.00,"$21,364,000,000.00","$14,113,000,000.00","$1,467,527,000.00",RY
2011-10-31,CAD,"$751,702,000,000.00","$102,916,000,000.00","$25,428,000,000.00","$25,428,000,000.00","$145,332,132,853.14",$0.00,"$192,055,000,000.00","$2,490,996,398.56",$0.00,"$2,115,000,000.00","$2,115,000,000.00","$7,703,000,000.00",$0.00,$0.00,"$70,878,000,000.00","$456,731,000,000.00",$0.00,"$708,054,000,000.00","$8,235,000,000.00",$0.00,$0.00,$0.00,"$179,000,000.00","$8,235,000,000.00",$0.00,"$7,752,100,840.34",$0.00,$0.00,"$7,928,000,000.00","-$8,235,000,000.00",$0.00,"$41,707,000,000.00",$0.00,"$24,282,000,000.00","$14,017,000,000.00","$1,435,131,000.00",RY
2011-04-30,CAD,"$728,917,000,000.00","$22,172,000,000.00","$22,172,000,000.00","$22,172,000,000.00","$180,538,720,538.72",$0.00,"$222,659,000,000.00","$2,795,664,983.17",$0.00,"$2,059,000,000.00","$2,059,000,000.00","$8,936,000,000.00",$0.00,$0.00,$0.00,"$484,086,000,000.00",$0.00,"$686,218,000,000.00","$62,042,000,000.00",$0.00,$0.00,$0.00,"$62,042,000,000.00","$62,042,000,000.00",$0.00,"$8,780,513,468.01",$0.00,$0.00,"$69,645,000,000.00","-$62,042,000,000.00",$0.00,"$40,435,000,000.00",$0.00,"$24,457,000,000.00","$14,257,154,882.16","$1,472,344,000.00",RY
2014-07-31,CAD,"$791,509,000,000.00","$49,964,000,000.00","$49,964,000,000.00","$49,964,000,000.00","$95,644,081,782.34",$0.00,"$175,614,000,000.00","$2,045,475,382.78",$0.00,"$10,820,000,000.00","$10,820,000,000.00",$0.00,$0.00,$0.00,"$57,573,118,180.99","$558,015,000,000.00",$0.00,"$743,063,000,000.00","$739,466,000,000.00",$0.00,$0.00,$0.00,$0.00,"$743,063,000,000.00",$0.00,"$4,467,772,989.82",$0.00,$0.00,"$4,873,000,000.00","$5,413,954,341.25",$0.00,"$47,170,000,000.00",$0.00,"$28,217,000,000.00","$15,141,000,000.00","$1,225,000,000.00",BNS
2014-04-30,CAD,"$791,772,000,000.00","$59,758,000,000.00","$59,758,000,000.00","$59,758,000,000.00","$94,449,005,655.90",$0.00,"$173,781,000,000.00","$2,027,002,371.83",$0.00,"$10,794,000,000.00","$10,794,000,000.00",$0.00,$0.00,$0.00,"$66,874,657,909.14","$550,052,000,000.00",$0.00,"$744,315,000,000.00","$740,688,000,000.00",$0.00,$0.00,$0.00,$0.00,"$744,315,000,000.00",$0.00,"$4,437,146,506.11",$0.00,$0.00,"$4,864,000,000.00","$5,323,846,013.50",$0.00,"$46,220,000,000.00",$0.00,"$26,849,000,000.00","$14,999,000,000.00","$1,222,000,000.00",BNS
2014-01-31,CAD,"$782,835,000,000.00","$55,321,000,000.00","$55,321,000,000.00","$55,321,000,000.00","$89,480,636,175.76",$0.00,"$169,573,000,000.00","$2,023,542,097.22",$0.00,"$10,822,000,000.00","$10,822,000,000.00",$0.00,$0.00,$0.00,"$60,450,175,217.90","$550,370,000,000.00",$0.00,"$735,476,000,000.00","$730,770,000,000.00",$0.00,$0.00,$0.00,$0.00,"$735,476,000,000.00",$0.00,"$5,278,102,255.37",$0.00,$0.00,"$5,874,000,000.00","$7,224,368,766.29",$0.00,"$46,191,000,000.00",$0.00,"$25,928,000,000.00","$14,889,000,000.00","$1,217,000,000.00",BNS
